21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 debug 0
21:27:33 kwargs,  {'topic_id': 1} <class 'dict'>
21:27:33 kwargs,  {'topic_id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 debug 0
21:27:33 kwargs,  {'topic_id': 1} <class 'dict'>
21:27:33 kwargs,  {'topic_id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:27:33 kwargs,  {'id': 1} <class 'dict'>
21:28:52 kwargs,  {'topic_id': 1} <class 'dict'>
21:28:56 kwargs,  {'topic_id': 1} <class 'dict'>
21:28:57 kwargs,  {'topic_id': 1} <class 'dict'>
21:29:01 kwargs,  {'id': 1} <class 'dict'>
21:29:01 debug 0
21:29:01 kwargs,  {'topic_id': 1} <class 'dict'>
21:29:01 kwargs,  {'topic_id': 1} <class 'dict'>
21:29:01 kwargs,  {'id': 1} <class 'dict'>
21:29:01 kwargs,  {'id': 1} <class 'dict'>
21:29:01 kwargs,  {'id': 1} <class 'dict'>
21:29:01 kwargs,  {'id': 1} <class 'dict'>
21:29:01 kwargs,  {'id': 1} <class 'dict'>
21:29:01 kwargs,  {'id': 1} <class 'dict'>
21:29:01 kwargs,  {'id': 1} <class 'dict'>
21:29:01 kwargs,  {'id': 1} <class 'dict'>
21:29:02 kwargs,  {'id': 1} <class 'dict'>
21:29:02 debug 0
21:29:02 kwargs,  {'topic_id': 1} <class 'dict'>
21:29:02 kwargs,  {'topic_id': 1} <class 'dict'>
21:29:02 kwargs,  {'id': 1} <class 'dict'>
